id,name,province,aqhi,observed,observation_datetime_text_en,observation_datetime_text_fr,lon,lat,color
AQ_OBS-JBNTS-20260201000000,Quesnel,,1.18,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.5,53.0,#0099cb
AQ_OBS-FALIF-20260201000000,Brampton,,2.4,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.7608333333333,43.6883333333333,#016797
AQ_OBS-JBXCK-20260201000000,Terrace,,1.18,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-128.599722,54.516389,#0099cb
AQ_OBS-IAHMM-20260201000000,Grande Prairie,,1.95,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-118.796111111111,55.1708333333333,#0099cb
AQ_OBS-FCTOV-20260201000000,Sudbury,,2.11,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-80.9775,46.5011111,#016797
AQ_OBS-FEVJR-20260201000000,Kingston,,2.5,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-76.4163888,44.3066666,#016797
AQ_OBS-HAPKT-20260201000000,Swift Current,,1.94,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-107.81689,50.285833,#0099cb
AQ_OBS-JBOBQ-20260201000000,Victoria / Saanich,,1.34,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-123.366666666667,48.4333333333333,#0099cb
AQ_OBS-DAFQX-20260201000000,Bathurst,,2.28,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-65.6283,47.6261,#016797
AQ_OBS-IAFFI-20260201000000,Fort McMurray,,2.35,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-111.380277777778,56.7263888888889,#016797
AQ_OBS-FCWOV-20260201000000,Tiverton,,2.22,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-81.5444444,44.2669444,#016797
AQ_OBS-FDSUS-20260201000000,Parry Sound,,2.23,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-80.0361111,45.3538889,#016797
AQ_OBS-IAFFM-20260201000000,Fort Saskatchewan,,2.14,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-113.217777777778,53.7111111111111,#016797
AQ_OBS-GBEIN-20260201000000,Winnipeg,,2.35,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-97.1463888888889,49.8844444444444,#016797
AQ_OBS-FDGEJ-20260201000000,Peterborough,,2.28,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-78.3333333,44.3011111,#016797
AQ_OBS-LBAMG-20260201000000,Yellowknife,,1.58,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-114.37,62.4536,#0099cb
AQ_OBS-KAHFT-20260201000000,Whitehorse,,1.0,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-135.0808333,60.6961111,#01cbff
AQ_OBS-IAQFR-20260201000000,Airdrie,,2.32,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-114.0141667,51.2922222,#016797
AQ_OBS-LARCU-20260201000000,Norman Wells,,2.11,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-126.8316,65.2811,#016797
AQ_OBS-FCKTB-20260201000000,Toronto West,,2.42,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.56589,43.71823,#016797
