id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-IAIUC-202512210100-202512210000,Medicine Hat,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-110.676666666667,50.0408333333333,#9e9e9e
AQ_FCST-LAILN-202512210100-202512210000,Fort Smith,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.8829,60.0053,#9e9e9e
AQ_FCST-LARCU-202512210100-202512210000,Norman Wells,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-126.8316,65.2811,#9e9e9e
AQ_FCST-IAASX-202512210100-202512210000,Sturgeon County,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.3283333,53.8297222,#9e9e9e
AQ_FCST-IACMW-202512210100-202512210000,Edson,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-116.4327778,53.5836111,#9e9e9e
AQ_FCST-IAEJS-202512210100-202512210000,Red Deer,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.810277777778,52.2686111111111,#9e9e9e
AQ_FCST-IACGW-202512210100-202512210000,Lamont County,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-112.7844444,53.7591666,#9e9e9e
AQ_FCST-IAGHN-202512210100-202512210000,St. Albert,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-113.6202778,53.6369444,#9e9e9e
AQ_FCST-JBJFI-202512210100-202512210100,Metro Vancouver - SW,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.163333,49.163333,#9e9e9e
AQ_FCST-JAHJY-202512210100-202512210100,Comox Valley,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-124.9833,49.6833,#9e9e9e
AQ_FCST-JBOAP-202512210100-202512210100,North Okanagan,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-119.266666666667,50.2583333333333,#9e9e9e
AQ_FCST-JBOBQ-202512210100-202512210100,Victoria / Saanich,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.366666666667,48.4333333333333,#9e9e9e
AQ_FCST-JBLVS-202512210100-202512210100,Prince George,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.75,53.9166666666667,#9e9e9e
AQ_FCST-IAEFD-202512210100-202512210000,Cold Lake,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-110.166667,54.45,#9e9e9e
