id,name,province,aqhi,observed,lon,lat,color
AQ_OBS-FDMOP-20250821000000,Oshawa,,1.75,2025-08-21T00:00:00Z,-78.8572222222222,43.9005555555556,#0099cb
AQ_OBS-HAUQM-20250821000000,Estevan,,3.36,2025-08-21T00:00:00Z,-102.9859847,49.1392833,#fffe03
AQ_OBS-IACMP-20250821000000,Edmonton,,2.04,2025-08-21T00:00:00Z,-113.490277777778,53.5344444444444,#016797
AQ_OBS-IAASX-20250821000000,Sturgeon County,,2.09,2025-08-21T00:00:00Z,-113.3283333,53.8297222,#016797
AQ_OBS-CBELL-20250821000000,Port Hawkesbury,,1.62,2025-08-21T00:00:00Z,-61.356111,45.6161111,#0099cb
AQ_OBS-ABFQA-20250821000000,Labrador City,,1.58,2025-08-21T00:00:00Z,-66.9365972,52.9605694,#0099cb
AQ_OBS-FCWOV-20250821010000,Tiverton,,1.53,2025-08-21T01:00:00Z,-81.5444444,44.2669444,#0099cb
AQ_OBS-FCWFX-20250821010000,Thunder Bay,,1.34,2025-08-21T01:00:00Z,-89.2677778,48.4013889,#0099cb
AQ_OBS-IAHMM-20250821010000,Grande Prairie,,1.76,2025-08-21T01:00:00Z,-118.796111111111,55.1708333333333,#0099cb
AQ_OBS-AAEOU-20250821010000,Corner Brook,,1.27,2025-08-21T01:00:00Z,-57.922167,48.9521,#0099cb
AQ_OBS-JBTMB-20250821010000,Williams Lake,,1.82,2025-08-21T01:00:00Z,-122.141666666667,52.1416666666667,#0099cb
AQ_OBS-HAUQM-20250821010000,Estevan,,3.42,2025-08-21T01:00:00Z,-102.9859847,49.1392833,#fffe03
AQ_OBS-IAKID-20250821010000,Calgary,,2.57,2025-08-21T01:00:00Z,-114.0575,51.0458333333333,#016797
AQ_OBS-JCVCJ-20250821010000,Squamish,,2.61,2025-08-21T01:00:00Z,-123.133333,49.75,#016797
AQ_OBS-JBXHZ-20250821010000,Metro Vancouver - NE,,2.43,2025-08-21T01:00:00Z,-122.683333333333,49.2333333333333,#016797
AQ_OBS-FCTOV-20250821010000,Sudbury,,2.4,2025-08-21T01:00:00Z,-80.9775,46.5011111,#016797
AQ_OBS-FALIF-20250821010000,Brampton,,2.1,2025-08-21T01:00:00Z,-79.7608333333333,43.6883333333333,#016797
AQ_OBS-ABYRK-20250821010000,Grand Falls - Windsor,,1.13,2025-08-21T01:00:00Z,-55.66,48.93,#0099cb
AQ_OBS-FEBWC-20250821010000,Kitchener,,1.76,2025-08-21T01:00:00Z,-80.4727778,43.4186111,#0099cb
AQ_OBS-FCKTB-20250821010000,Toronto West,,1.88,2025-08-21T01:00:00Z,-79.56589,43.71823,#0099cb
AQ_OBS-JBOBQ-20250821010000,Victoria / Saanich,,1.91,2025-08-21T01:00:00Z,-123.366666666667,48.4333333333333,#0099cb
AQ_OBS-DAEBC-20250821010000,St. Andrews,,1.79,2025-08-21T01:00:00Z,-67.058373,45.079907,#0099cb
AQ_OBS-FDGED-20250821010000,Newmarket,,2.01,2025-08-21T01:00:00Z,-79.4583333333333,44.0580555555556,#016797
AQ_OBS-JBMQO-20250821010000,Smithers,,1.29,2025-08-21T01:00:00Z,-127.176111,54.779167,#0099cb
AQ_OBS-FALJI-20250821010000,Brantford,,1.89,2025-08-21T01:00:00Z,-80.25749,43.1569444,#0099cb
AQ_OBS-JAFUV-20250821010000,Central Okanagan,,1.71,2025-08-21T01:00:00Z,-119.483333333333,49.8833333333333,#0099cb
AQ_OBS-DALZZ-20250821010000,Edmundston,,1.77,2025-08-21T01:00:00Z,-68.294444,47.377222,#0099cb
AQ_OBS-FDZCP-20250821010000,Sault Ste. Marie,,1.14,2025-08-21T01:00:00Z,-84.3469444,46.5588888,#0099cb
AQ_OBS-ABFQA-20250821010000,Labrador City,,1.48,2025-08-21T01:00:00Z,-66.9365972,52.9605694,#0099cb
AQ_OBS-CATHI-20250821010000,Lake Major,,1.5,2025-08-21T01:00:00Z,-63.467261,44.71338,#0099cb
AQ_OBS-IADGP-20250821010000,Lethbridge,,2.46,2025-08-21T01:00:00Z,-112.841944444444,49.6936111111111,#016797
AQ_OBS-FBKKK-20250821010000,Guelph,,1.62,2025-08-21T01:00:00Z,-80.22899,43.53571,#0099cb
AQ_OBS-FDJFN-20250821010000,St. Catharines,,1.65,2025-08-21T01:00:00Z,-79.2533,43.16544,#0099cb
AQ_OBS-JAHJY-20250821010000,Comox Valley,,1.81,2025-08-21T01:00:00Z,-124.9833,49.6833,#0099cb
AQ_OBS-FDEGT-20250821010000,Windsor,,2.1,2025-08-21T01:00:00Z,-82.9936111111111,42.3022222222222,#016797
AQ_OBS-BAEMV-20250821010000,St. Peters Bay,,1.0,2025-08-21T01:00:00Z,-62.5833333333333,46.4166666666667,#01cbff
AQ_OBS-IAJWU-20250821010000,Hinton,,1.71,2025-08-21T01:00:00Z,-117.5627778,53.4111111,#0099cb
AQ_OBS-IAIDN-20250821010000,Brooks,,2.89,2025-08-21T01:00:00Z,-111.895,50.567222,#016797
AQ_OBS-DAEGW-20250821010000,Saint John,,4.0,2025-08-21T01:00:00Z,-66.0388888888889,45.2591666666667,#fffe03
AQ_OBS-AADCE-20250821010000,Burin,,1.33,2025-08-21T01:00:00Z,-55.175272,47.082841,#0099cb
AQ_OBS-IABOA-20250821010000,Drayton Valley,,1.71,2025-08-21T01:00:00Z,-114.9808333,53.2241666,#0099cb
AQ_OBS-FCGKZ-20250821010000,Oakville,,1.92,2025-08-21T01:00:00Z,-79.7138888888889,43.4563888888889,#0099cb
AQ_OBS-CBUCG-20250821010000,Halifax,,1.71,2025-08-21T01:00:00Z,-63.57392,44.64625,#0099cb
